Title,Date,Sentiment,Sentiment_Score
"ATMs to become virtual bank branches, accept deposits with instant credit",2020-05-26,Neutral,0.9999425411224365
IDFC First Bank seniors to forgo 65% of bonus amid Covid-19 crisis,2020-05-26,Neutral,0.9514657258987427
"Huge scam in YES Bank for many years, says Enforcement Directorate",2020-05-25,Neutral,0.9966784715652466
"Bank of Maharashtra sanctioned Rs 2,789 cr in loans to MSMEs in 3 months",2020-05-24,Neutral,0.9950921535491943
DCB Bank's profit before tax declines 37.6% to Rs 93.84 crore in Q4,2020-05-23,Negative,0.999971866607666
"Bank of Baroda to advance Rs 12,000 crore to MSMEs under govt scheme",2020-05-23,Neutral,0.9999717473983765
"Retail, MSME loans to get cheaper as RBI cuts repo rate in surprise action",2020-05-22,Positive,0.9909674525260925
"RBI forecasts economic contraction, announces a sharp 40-bp rate cut",2020-05-22,Negative,0.9999775886535645
"RBI extends loan moratorium till Aug 31, silent on one-time restructuring",2020-05-22,Neutral,0.9994649291038513
"Govt seeks to raise Rs 14,000 cr from second tranche of Bharat Bond ETF",2020-05-22,Neutral,0.9998822212219238
"Covid-19 crisis: Slippages may jump to Rs 5.5 trillion, says India Ratings",2020-05-22,Negative,0.9502455592155457
"Lockdown 4.0: Normalcy returning for shadow lenders, albeit at a slow pace",2020-05-22,Neutral,0.9856444597244263
"Covid-19: Banking slippages may rise by Rs 5.5 trn this fiscal, says report",2020-05-21,Negative,0.6989241242408752
"FM Sitharaman to review banking situation, credit offtake with PSB chiefs",2020-05-21,Neutral,0.9998934268951416
It will be a long road to recovery from Covid-19: Axis Bank chief,2020-05-21,Neutral,0.9026656150817871
Bank credit growth slowed in Dec quarter on muted industrial demand,2020-05-21,Negative,0.9999991655349731
"Covid-19 crisis: Banks seek relaxed NPA norms, moratorium extension",2020-05-21,Negative,0.7723532319068909
It may be time to change the way UCBs and NBFCs raise retail deposits,2020-05-21,Neutral,0.9994885921478271
Govt to use RBI money to support struggling NBFCs for just three months,2020-05-20,Neutral,0.9998212456703186
RBI may need to slash rates alongside providing fiscal stimulus: Economists,2020-05-20,Neutral,0.9373624920845032
RBI refuses a dozen licences to NBFCs with investments from Mauritius,2020-05-20,Neutral,0.9764044284820557
"PSBs report sharp rise in deposits thanks to YES Bank, Franklin fiasco",2020-05-19,Neutral,0.8573542833328247
"Moratorium to strain NBFC liquidity even further, bad debts to rise",2020-05-19,Negative,0.9999696016311646
PSBs sanctioned loans worth Rs 6.45 trn in lockdown between Mar 1-May 15,2020-05-19,Neutral,0.9999874830245972
"All for liquidity: Watch every rupee, chase dues, and refinance debt",2020-05-18,Neutral,0.9999610185623169
